Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-2,191.071428,C11H12O3,191.071368,0.3151,[M-H]-
HR-2,191.071428,C11H12O3,191.071368,0.3151,[M-H]-
HR-2,191.071428,C11H12O3,191.071368,0.3151,[M-H]-
HR-2,191.071428,C11H12O3,191.071368,0.3151,[M-H]-
HR-2,191.071428,C11H12O3,191.071368,0.3151,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,191.107768,C12H16O2,191.107753,0.0769,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,193.087058,C11H14O3,193.087018,0.2079,[M-H]-
HR-2,195.102678,C11H16O3,195.102668,0.0516,[M-H]-
HR-2,195.102678,C11H16O3,195.102668,0.0516,[M-H]-
HR-2,195.102678,C11H16O3,195.102668,0.0516,[M-H]-
HR-2,195.102678,C11H16O3,195.102668,0.0516,[M-H]-
HR-2,197.081968,C10H14O4,197.081932,0.1802,[M-H]-
HR-2,197.081968,C10H14O4,197.081932,0.1802,[M-H]-
HR-2,197.081968,C10H14O4,197.081932,0.1802,[M-H]-
HR-2,197.081968,C10H14O4,197.081932,0.1802,[M-H]-
HR-2,199.097658,C10H16O4,199.097583,0.379,[M-H]-
HR-2,199.097658,C10H16O4,199.097583,0.379,[M-H]-
HR-2,199.097658,C10H16O4,199.097583,0.379,[M-H]-
HR-2,199.097658,C10H16O4,199.097583,0.379,[M-H]-
HR-2,199.097658,C10H16O4,199.097583,0.379,[M-H]-
HR-2,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-2,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-2,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-2,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-2,203.071349,C12H12O3,203.071368,-0.0927,[M-H]-
