Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
P11,341.103163,C19H18O6,341.103062,-0.2956,[M-H]-
P11,259.024846,C13H8O6,259.024812,-0.1328,[M-H]-
P11,322.093225,C16H13N5O3,322.094563,4.1552,[M-H]-
P11,419.098426,C20H20O10,419.09837,-0.1331,[M-H]-
P11,407.0256,C17H12O12,407.025599,-0.0024,[M-H]-
P11,511.05182,C24H16O13,511.051814,-0.0118,[M-H]-
P11,418.077926,C20H13N5O6,418.079307,3.3014,[M-H]-
P11,467.118769,C21H24O12,467.1195,1.5648,[M-H]-
P11,489.213223,C26H34O9,489.213006,-0.4439,[M-H]-
P11,473.18127,C25H30O9,473.181706,0.921,[M-H]-
P11,307.045866,C14H12O8,307.045941,0.2431,[M-H]-
P11,529.099058,C25H22O13,529.098764,-0.5549,[M-H]-
P11,359.113776,C19H20O7,359.113627,-0.4163,[M-H]-
P11,470.071987,C23H13N5O7,470.074221,4.7525,[M-H]-
P11,527.156195,C27H28O11,527.155885,-0.587,[M-H]-
P11,392.098524,C19H15N5O5,392.100042,3.8729,[M-H]-
P11,426.104017,C19H17N5O7,426.105521,3.5309,[M-H]-
P11,333.097961,C17H18O7,333.097976,0.0461,[M-H]-
P11,305.103158,C16H18O6,305.103062,-0.315,[M-H]-
P11,497.129802,C22H26O13,497.130064,0.5286,[M-H]-
P11,301.07188,C16H14O6,301.071762,-0.3933,[M-H]-
P11,461.181576,C24H30O9,461.181706,0.2826,[M-H]-
P11,531.151707,C26H28O12,531.1508,-1.7079,[M-H]-
P11,609.146001,C27H30O16,609.146108,0.1764,[M-H]-
P11,361.129487,C19H22O7,361.129277,-0.5832,[M-H]-
P11,387.035631,C18H12O10,387.03577,0.3592,[M-H]-
P11,529.135428,C26H26O12,529.13515,-0.5252,[M-H]-
P11,417.192016,C23H30O7,417.191877,-0.3323,[M-H]-
P11,413.218329,C21H34O8,413.218092,-0.5752,[M-H]-
P11,295.061408,C17H12O5,295.061197,-0.7146,[M-H]-
P11,427.088054,C18H20O12,427.0882,0.3407,[M-H]-
P11,491.08277,C22H20O13,491.083114,0.7011,[M-H]-
P11,511.109081,C22H24O14,511.109329,0.4844,[M-H]-
P11,365.030434,C19H10O8,365.030291,-0.3927,[M-H]-
P11,512.119323,C26H19N5O7,512.121172,3.6099,[M-H]-
P11,479.191542,C24H32O10,479.192271,1.5205,[M-H]-
P11,417.046465,C19H14O11,417.046335,-0.3127,[M-H]-
P11,283.097705,C17H16O4,283.097583,-0.434,[M-H]-
P11,551.213048,C27H36O12,551.2134,0.6381,[M-H]-
P11,369.191929,C19H30O7,369.191877,-0.1426,[M-H]-
P11,511.073341,C21H20O15,511.072944,-0.777,[M-H]-
P11,315.050978,C16H12O7,315.051026,0.1532,[M-H]-
P11,433.088424,C31H14O3,433.087018,-3.2465,[M-H]-
P11,287.09262,C16H16O5,287.092497,-0.4276,[M-H]-
P11,417.155615,C22H26O8,417.155491,-0.2975,[M-H]-
P11,395.077087,C21H16O8,395.077241,0.3888,[M-H]-
P11,325.128536,C16H22O7,325.129277,-2.2789,[M-H]-
P11,325.129166,C16H22O7,325.129277,0.3412,[M-H]-
P11,447.092753,C21H20O11,447.093285,1.1894,[M-H]-
P11,363.035914,C16H12O10,363.03577,-0.395,[M-H]-
P11,279.087418,C14H16O6,279.087412,-0.023,[M-H]-
P11,471.201514,C26H32O8,471.202442,1.9682,[M-H]-
P11,229.087005,C14H14O3,229.087018,0.0559,[M-H]-
P11,376.103733,C19H15N5O4,376.105128,3.7083,[M-H]-
P11,357.09806,C19H18O7,357.097976,-0.2349,[M-H]-
P11,367.082549,C20H16O7,367.082326,-0.6073,[M-H]-
P11,379.046022,C20H12O8,379.045941,-0.2126,[M-H]-
P11,505.078197,C26H18O11,505.077635,-1.1138,[M-H]-
P11,499.088133,C24H20O12,499.0882,0.1332,[M-H]-
P11,255.066317,C15H12O4,255.066282,-0.1364,[M-H]-
P11,607.093771,C26H24O17,607.094073,0.4973,[M-H]-
P11,384.036135,C19H7N5O5,384.037442,3.4034,[M-H]-
P11,291.160281,C17H24O4,291.160183,-0.3384,[M-H]-
P11,360.072557,C18H11N5O4,360.073827,3.5276,[M-H]-
P11,433.077194,C20H18O11,433.077635,1.018,[M-H]-
P11,457.113503,C23H22O10,457.11402,1.1313,[M-H]-
P11,459.238882,C26H36O7,459.238827,-0.1189,[M-H]-
P11,391.030449,C17H12O11,391.030685,0.6029,[M-H]-
P11,495.092684,C25H20O11,495.093285,1.2145,[M-H]-
P11,343.04608,C17H12O8,343.045941,-0.4057,[M-H]-
P11,413.160429,C23H26O7,413.160577,0.3577,[M-H]-
P11,423.166227,C21H28O9,423.166056,-0.4047,[M-H]-
P11,469.24337,C24H38O9,469.244306,1.9953,[M-H]-
