Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.018868,C11H6O4,201.019332,2.3099,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,201.055678,C12H10O3,201.055718,0.198,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,202.998529,C10H4O5,202.998597,0.3322,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
SRFA2,203.035009,C11H8O4,203.034982,-0.1334,[M-H]-
