Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-5 21 T,175.040078,C10H8O3,175.040068,0.059,[M-H]-
HR-5 21 T,175.076458,C11H12O2,175.076453,0.0275,[M-H]-
HR-5 21 T,176.986358,C5H6O5S,176.986318,0.2286,[M-H]-
HR-5 21 T,177.055728,C10H10O3,177.055718,0.058,[M-H]-
HR-5 21 T,177.092118,C11H14O2,177.092103,0.0833,[M-H]-
HR-5 21 T,181.050648,C9H10O4,181.050632,0.0864,[M-H]-
HR-5 21 T,181.087038,C10H14O3,181.087018,0.1112,[M-H]-
HR-5 21 T,183.066288,C9H12O4,183.066282,0.0305,[M-H]-
HR-5 21 T,183.102678,C10H16O3,183.102668,0.055,[M-H]-
HR-5 21 T,183.139058,C11H20O2,183.139053,0.0249,[M-H]-
HR-5 21 T,185.081928,C9H14O4,185.081932,-0.0242,[M-H]-
HR-5 21 T,185.118318,C10H18O3,185.118318,0.0,[M-H]-
HR-5 21 T,185.154708,C11H22O2,185.154703,0.0243,[M-H]-
HR-5 21 T,187.040068,C11H8O3,187.040068,0.0018,[M-H]-
HR-5 21 T,187.076448,C12H12O2,187.076453,-0.0277,[M-H]-
HR-5 21 T,187.097588,C9H16O4,187.097583,0.0291,[M-H]-
HR-5 21 T,187.133968,C10H20O3,187.133968,-0.0003,[M-H]-
HR-5 21 T,189.055728,C11H10O3,189.055718,0.0543,[M-H]-
HR-5 21 T,189.092108,C12H14O2,189.092103,0.0252,[M-H]-
HR-5 21 T,191.034988,C10H8O4,191.034982,0.0299,[M-H]-
HR-5 21 T,191.071388,C11H12O3,191.071368,0.1057,[M-H]-
HR-5 21 T,191.107758,C12H16O2,191.107753,0.0246,[M-H]-
HR-5 21 T,193.050638,C10H10O4,193.050632,0.0292,[M-H]-
HR-5 21 T,193.087018,C11H14O3,193.087018,0.0007,[M-H]-
HR-5 21 T,193.123418,C12H18O2,193.123403,0.0758,[M-H]-
HR-5 21 T,195.029898,C9H8O5,195.029897,0.0056,[M-H]-
HR-5 21 T,195.045158,C13H8O2,195.045153,0.0254,[M-H]-
HR-5 21 T,195.066278,C10H12O4,195.066282,-0.0227,[M-H]-
HR-5 21 T,195.102668,C11H16O3,195.102668,0.0004,[M-H]-
HR-5 21 T,195.139058,C12H20O2,195.139053,0.0234,[M-H]-
HR-5 21 T,197.045548,C9H10O5,197.045547,0.0052,[M-H]-
HR-5 21 T,197.060798,C13H10O2,197.060803,-0.0259,[M-H]-
HR-5 21 T,197.081938,C10H14O4,197.081932,0.028,[M-H]-
HR-5 21 T,197.118318,C11H18O3,197.118318,0.0,[M-H]-
HR-5 21 T,197.154698,C12H22O2,197.154703,-0.0279,[M-H]-
HR-5 21 T,199.040068,C12H8O3,199.040068,0.0017,[M-H]-
HR-5 21 T,199.061198,C9H12O5,199.061197,0.0048,[M-H]-
HR-5 21 T,199.076458,C13H12O2,199.076453,0.0242,[M-H]-
HR-5 21 T,199.097588,C10H16O4,199.097583,0.0274,[M-H]-
HR-5 21 T,199.133968,C11H20O3,199.133968,-0.0003,[M-H]-
HR-5 21 T,199.170358,C12H24O2,199.170354,0.0223,[M-H]-
HR-5 21 T,201.019348,C11H6O4,201.019332,0.0785,[M-H]-
HR-5 21 T,201.055718,C12H10O3,201.055718,0.0013,[M-H]-
HR-5 21 T,201.076848,C9H14O5,201.076847,0.0045,[M-H]-
HR-5 21 T,201.092098,C13H14O2,201.092103,-0.026,[M-H]-
HR-5 21 T,201.113238,C10H18O4,201.113233,0.0269,[M-H]-
HR-5 21 T,202.050958,C11H9NO3,202.050967,-0.0408,[M-H]-
HR-5 21 T,203.034979,C11H8O4,203.034982,-0.0166,[M-H]-
HR-5 21 T,203.071359,C12H12O3,203.071368,-0.0436,[M-H]-
HR-5 21 T,203.092469,C9H16O5,203.092497,-0.139,[M-H]-
HR-5 21 T,203.107749,C13H16O2,203.107753,-0.0214,[M-H]-
HR-5 21 T,203.128869,C10H20O4,203.128883,-0.0675,[M-H]-
HR-5 21 T,204.014889,C6H7NO7,204.014975,-0.4203,[M-H]-
HR-5 21 T,205.01424,C10H6O5,205.014247,-0.0342,[M-H]-
