Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2 21 T,151.00359,C7H4O4,151.003682,-0.6103,[M-H]-
SRFA2 21 T,163.07641,C10H12O2,163.076453,-0.2648,
SRFA2 21 T,175.04,C10H8O3,175.040068,-0.3866,
SRFA2 21 T,175.07639,C11H12O2,175.076453,-0.3609,
SRFA2 21 T,177.01927,C9H6O4,177.019332,-0.3515,
SRFA2 21 T,177.05566,C10H10O3,177.055718,0.3261,
SRFA2 21 T,178.99853,C8H4O5,178.998597,0.3731,
SRFA2 21 T,179.0349,C9H8O4,179.034982,0.4596,
SRFA2 21 T,181.0142,C8H6O5,181.014247,-0.2588,
SRFA2 21 T,181.05059,C9H10O4,181.050632,0.234,
SRFA2 21 T,181.08697,C10H14O3,181.087018,-0.2643,
SRFA2 21 T,183.02984,C8H8O5,183.029897,0.311,
SRFA2 21 T,183.04509,C12H8O2,183.045153,0.3444,
SRFA2 21 T,185.04546,C8H10O5,185.045547,0.47,
SRFA2 21 T,185.06074,C12H10O2,185.060803,0.341,
SRFA2 21 T,187.00353,C10H4O4,187.003682,0.8137,
SRFA2 21 T,187.03999,C11H8O3,187.040068,0.4153,
SRFA2 21 T,189.01926,C10H6O4,189.019332,0.3821,
SRFA2 21 T,189.05563,C11H10O3,189.055718,0.4641,
SRFA2 21 T,191.03492,C10H8O4,191.034982,0.3261,
SRFA2 21 T,191.07129,C11H12O3,191.071368,0.4072,
SRFA2 21 T,191.1077,C12H16O2,191.107753,0.2789,
SRFA2 21 T,193.01418,C9H6O5,193.014247,0.3464,
SRFA2 21 T,193.05056,C10H10O4,193.050632,0.3748,
SRFA2 21 T,195.02983,C9H8O5,195.029897,0.3431,
SRFA2 21 T,195.04509,C13H8O2,195.045153,0.3233,
SRFA2 21 T,195.06622,C10H12O4,195.066282,0.32,
SRFA2 21 T,197.00909,C8H6O6,197.009161,-0.3628,
SRFA2 21 T,197.04548,C9H10O5,197.045547,0.3399,
SRFA2 21 T,197.06073,C13H10O2,197.060803,-0.371,
SRFA2 21 T,197.08187,C10H14O4,197.081932,0.3171,
SRFA2 21 T,199.04,C12H8O3,199.040068,0.34,
SRFA2 21 T,199.07638,C13H12O2,199.076453,0.3676,
SRFA2 21 T,201.01926,C11H6O4,201.019332,0.3593,
SRFA2 21 T,201.04038,C8H10O6,201.040462,0.4059,
SRFA2 21 T,201.05564,C12H10O3,201.055718,0.3866,
SRFA2 21 T,201.09205,C13H14O2,201.092103,0.2648,
SRFA2 21 T,202.99851,C10H4O5,202.998597,0.4275,
SRFA2 21 T,203.03491,C11H8O4,203.034982,0.3561,
SRFA2 21 T,203.07129,C12H12O3,203.071368,0.3831,
SRFA2 21 T,203.10769,C13H16O2,203.107753,0.3117,
SRFA2 21 T,205.01417,C10H6O5,205.014247,0.3749,
SRFA2 21 T,205.05055,C11H10O4,205.050632,0.4016,
SRFA2 21 T,205.08694,C12H14O3,205.087018,0.3797,
SRFA2 21 T,205.12332,C13H18O2,205.123403,0.4064,
SRFA2 21 T,206.99343,C9H4O6,206.993511,0.3933,
SRFA2 21 T,207.02982,C10H8O5,207.029897,0.3715,
SRFA2 21 T,207.06621,C11H12O4,207.066282,0.3497,
SRFA2 21 T,207.10259,C12H16O3,207.102668,0.3763,
SRFA2 21 T,209.00908,C9H6O6,209.009161,0.3898,
SRFA2 21 T,209.04546,C10H10O5,209.045547,0.4161,
